,id,name,lat,lng,order
0,8.189,Новокосино,55.745113,37.864052,0
1,8.88,Новогиреево,55.752237,37.814587,1
2,8.107,Перово,55.75098,37.78422,2
3,8.158,Шоссе Энтузиастов,55.75809,37.751703,3
4,8.1,Авиамоторная,55.751933,37.717444,4
5,8.112,Площадь Ильича,55.747115,37.680726,5
6,8.78,Марксистская,55.740746,37.65604,6
7,8.91,Третьяковская,55.741125,37.626142,7
8,2.558,Ховрино,55.8777,37.4877,0
9,2.674,Беломорская,55.8651,37.4764,1
10,2.125,Речной вокзал,55.854152,37.476728,2
11,2.29,Водный стадион,55.838978,37.487515,3
12,2.30,Войковская,55.818923,37.497791,4
13,2.133,Сокол,55.805564,37.515245,5
14,2.12,Аэропорт,55.800441,37.530477,6
15,2.34,Динамо,55.789704,37.558212,7
16,2.19,Белорусская,55.777439,37.582107,8
17,2.80,Маяковская,55.769808,37.596192,9
18,2.122,Тверская,55.765343,37.603918,10
19,2.99,Театральная,55.758808,37.61768,11
20,2.89,Новокузнецкая,55.742391,37.62928,12
21,2.101,Павелецкая,55.729741,37.638693,13
22,2.2,Автозаводская,55.706634,37.657008,14
23,2.512,Технопарк,55.695,37.664167,15
24,2.53,Коломенская,55.677423,37.663719,16
25,2.45,Каширская,55.655745,37.649683,17
26,2.42,Кантемировская,55.636107,37.656218,18
27,2.153,Царицыно,55.620982,37.669612,19
28,2.96,Орехово,55.61269,37.695214,20
29,2.38,Домодедовская,55.610131,37.717111,21
30,2.57,Красногвардейская,55.614075,37.742697,22
31,2.257,Алма-Атинская,55.63349,37.765678,23
32,6.81,Медведково,55.888103,37.661562,0
33,6.13,Бабушкинская,55.870641,37.664341,1
34,6.129,Свиблово,55.855558,37.653379,2
35,6.24,Ботанический сад,55.844597,37.637811,3
36,6.27,ВДНХ,55.819626,37.640751,4
37,6.8,Алексеевская,55.807794,37.638699,5
38,6.126,Рижская,55.792494,37.636114,6
39,6.120,Проспект Мира,55.781827,37.633199,7
40,6.137,Сухаревская,55.772315,37.63285,8
41,6.144,Тургеневская,55.765371,37.636732,9
42,6.50,Китай-город,55.756498,37.631326,10
43,6.90,Третьяковская,55.74073,37.625624,11
44,6.94,Октябрьская,55.731232,37.612851,12
45,6.157,Шаболовская,55.718828,37.607892,13
46,6.74,Ленинский проспект,55.70678,37.58499,14
47,6.3,Академическая,55.687147,37.5723,15
48,6.121,Профсоюзная,55.677671,37.562595,16
49,6.92,Новые Черемушки,55.670077,37.554493,17
50,6.41,Калужская,55.656682,37.540075,18
51,6.21,Беляево,55.642357,37.526115,19
52,6.56,Коньково,55.631857,37.519156,20
53,6.140,Теплый Стан,55.61873,37.505912,21
54,6.164,Ясенево,55.606182,37.5334,22
55,6.23,Новоясеневская,55.601947,37.553017,23
56,1.148,Бульвар Рокоссовского,55.814916,37.732227,0
