,address,rooms,seg,floors,mat,floor,area,area_kitchen,balk,metro,repair,lat,lng,floor_in_house,floor_from_floors,main_corr
0,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,16.0,3,2.0,78.0,10.1,1,15.0,2,55.591559,37.44647,14.0,2,-4.5
1,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,16.0,3,1.0,63.1,19.0,1,15.0,2,55.591559,37.44647,15.0,1,-4.5
2,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,9.0,3,3.0,48.2,16.8,1,15.0,2,55.591559,37.44647,6.0,2,-4.5
3,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,16.0,3,14.0,29.1,8.4,1,15.0,2,55.591559,37.44647,2.0,2,-4.5
4,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,16.0,3,4.0,24.6,8.9,1,15.0,2,55.591559,37.44647,12.0,2,-4.5
5,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,9.0,3,7.0,27.98,7.4,1,15.0,2,55.591559,37.44647,2.0,2,-4.5
6,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,16.0,3,6.0,27.46,8.2,1,15.0,2,55.591559,37.44647,10.0,2,-4.5
7,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,16.0,3,10.0,27.6,9.1,1,15.0,2,55.591559,37.44647,6.0,2,-4.5
8,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,16.0,3,6.0,28.17,8.4,1,15.0,2,55.591559,37.44647,10.0,2,-4.5
9,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,9.0,3,9.0,27.98,7.9,1,15.0,2,55.591559,37.44647,0.0,3,-4.5
11,"Москва, НАО (Новомосковский), Сосенское поселение, проспект Магеллана, 2",0,0,16.0,3,1.0,25.34,7.5,1,15.0,2,55.591559,37.44647,15.0,1,-4.5
